host_response_rate,host_identity_verified,host_total_listings_count,is_location_exact,property_type,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month,fraud
95,1,6,1,8,2,6500,30,36,87.0,0,2,1.69,1
100,1,4,1,8,2,7700,1,226,86.0,0,2,5.64,1
100,1,11,1,8,2,6500,2,125,89.0,1,2,2.05,1
100,0,1,0,0,5,25000,1,56,95.0,0,1,3.89,1
75,0,1,1,0,2,12500,2,14,93.0,0,0,1.34,1
100,1,2,1,0,2,6500,1,176,92.0,0,0,7.19,1
96,1,3,0,0,5,14500,2,25,83.0,1,2,4.21,1
95,1,6,1,8,2,6500,30,36,87.0,0,2,1.69,1
100,1,4,1,0,2,12000,2,38,82.0,0,2,1.43,1
100,1,2,1,11,4,17500,1,36,96.0,0,2,8.12,1
100,1,1,1,0,2,20000,3,28,93.0,1,1,1.96,1
100,1,9,1,0,7,19900,1,24,88.0,0,2,1.83,1
100,1,7,1,0,4,19500,3,47,95.0,0,2,0.54,1
97,1,11,1,4,6,22500,3,11,95.0,0,2,3.98,1
92,1,1,1,0,3,12500,2,20,91.0,0,1,1.91,1
100,0,2,1,0,8,23000,3,8,90.0,1,0,2.07,1
100,1,3,1,0,2,7000,2,72,79.0,0,1,1.93,1
97,1,11,1,4,6,22500,3,11,95.0,0,2,3.98,1
96,1,313,1,0,5,36300,3,14,87.0,0,1,0.46,1
100,1,4,1,0,1,9000,3,23,91.0,0,2,0.83,1
90,0,1,0,0,4,13500,3,2,90.0,0,0,0.69,1
100,1,6,1,10,1,50000,1,26,94.0,0,2,0.65,1
100,1,7,1,0,4,9900,1,184,76.0,1,0,7.53,1
73,1,4,1,8,2,4600,2,18,82.0,1,2,1.46,1
96,1,313,1,0,5,36300,3,22,91.0,0,1,0.73,1
89,1,558,1,0,6,38900,3,52,88.0,0,3,0.67,1
100,1,20,0,8,3,6800,1,42,86.0,0,2,2.75,1
96,1,3,1,4,4,17500,1,39,95.0,0,2,3.31,1
100,1,1,1,1,2,7900,1,34,95.0,0,1,5.67,1
99,1,30,0,0,8,15500,1,26,82.0,0,2,2.69,1
100,1,2,1,0,3,4500,1,19,93.0,0,1,1.57,1
100,1,1,1,0,4,23900,2,103,98.0,0,2,4.09,1
100,1,7,1,0,4,9900,1,252,78.0,1,0,7.05,1
88,1,1,1,0,3,19900,7,6,97.0,1,2,3.75,1
90,1,1,1,4,2,25000,1,21,100.0,0,2,1.56,1
100,1,2,1,0,2,9000,1,43,97.0,0,0,1.38,1
96,1,313,1,0,5,60300,3,12,88.0,0,1,0.79,1
92,0,8,1,2,6,20000,2,32,79.0,1,2,0.82,1
100,1,1,1,0,4,17000,2,30,97.0,0,1,5.77,1
98,1,5,1,8,16,12500,1,24,91.0,0,2,2.07,1
89,1,558,1,0,5,34900,3,4,94.0,0,3,0.09,1
97,1,21,1,0,3,19900,2,14,88.0,0,1,3.68,1
100,1,1,1,0,6,20000,1,132,96.0,1,2,2.62,1
100,0,1,1,8,1,3000,1,3,20.0,1,0,0.51,1
100,1,1,0,0,2,5900,1,4,75.0,0,0,0.32,1
100,1,13,1,8,2,6800,1,109,91.0,0,2,3.09,1
96,0,4,1,0,1,13900,2,67,81.0,0,2,2.74,1
100,1,1,1,4,2,11500,2,45,98.0,0,0,3.9,1
100,1,2,1,0,6,19000,2,39,88.0,0,1,1.53,1
94,0,3,1,8,8,22500,1,21,75.0,0,2,1.82,1
100,1,5,1,8,3,9300,3,97,95.0,0,1,3.25,1
98,1,24,0,0,2,20000,2,28,93.0,0,2,0.96,1
100,1,4,1,8,2,6500,2,62,91.0,0,0,2.33,1
95,1,3,1,8,2,6500,2,8,93.0,0,1,0.63,1
100,1,1,1,4,8,38300,1,57,86.0,1,2,4.22,1
100,1,2,1,0,3,12000,1,174,95.0,0,1,8.49,1
100,1,1,1,0,2,11000,2,120,95.0,0,2,2.03,1
100,1,4,1,0,2,18500,1,82,96.0,0,1,5.34,1
100,1,20,1,0,6,9900,2,72,85.0,1,2,3.04,1
100,1,2,1,8,5,7500,1,18,81.0,0,0,8.06,1
100,1,2,1,8,1,7200,1,15,97.0,0,1,0.62,1
100,1,307,1,0,5,23200,2,22,92.0,0,2,1.24,1
100,1,1,1,0,2,9500,1,45,95.0,0,2,4.05,1
100,1,2,1,8,4,12500,3,57,96.0,0,1,1.54,1
98,1,22,1,0,4,14300,2,16,91.0,0,2,1.33,1
100,0,3,1,0,4,32500,3,12,85.0,0,2,0.71,1
73,1,4,1,8,2,4600,2,18,82.0,1,2,1.46,1
100,1,307,1,0,5,23200,2,22,92.0,0,2,1.24,1
100,1,2,1,8,4,15900,2,41,94.0,0,1,0.86,1
100,1,1,1,0,4,24900,3,26,98.0,0,2,1.51,1
100,1,2,1,0,1,8400,1,133,96.0,1,1,9.32,1
100,1,4,0,8,3,7900,1,48,90.0,1,2,1.71,1
100,0,11,1,0,4,10900,1,58,88.0,0,2,4.55,1
71,1,363,1,4,2,26900,3,4,95.0,1,2,0.79,1
100,1,1,1,8,2,8500,1,26,97.0,0,1,2.09,1
100,1,1,1,0,2,8000,1,89,95.0,0,1,7.34,1
100,1,1,1,8,2,7500,2,41,98.0,0,0,2.62,1
100,1,1,1,11,2,15500,1,100,98.0,0,1,6.32,1
100,0,1,1,0,1,3000,1,8,73.0,1,0,6.15,1
100,1,1,1,0,4,21500,2,27,96.0,0,2,1.88,1
100,1,11,1,8,2,7000,1,81,87.0,0,1,1.33,1
100,1,1,1,0,4,13000,2,59,99.0,0,1,4.55,1
100,1,1,1,0,4,10900,2,185,87.0,1,1,3.67,1
100,1,2,1,8,2,10000,1,62,97.0,0,0,4.39,1
90,1,1,1,0,3,9500,1,53,99.0,0,2,2.07,1
100,1,1,1,0,2,11000,2,120,95.0,0,2,2.03,1
100,1,3,1,4,1,8800,28,115,96.0,0,1,6.79,1
100,1,1,1,0,3,25000,1,34,90.0,0,2,1.16,1
97,1,11,1,0,4,23500,3,34,96.0,0,2,1.33,1
100,1,7,1,0,6,22500,3,138,92.0,0,2,2.24,1
100,1,2,1,8,4,12500,3,57,96.0,0,1,1.54,1
94,1,5,1,0,5,35000,1,13,98.0,0,1,0.24,1
100,1,3,1,0,4,30000,30,15,89.0,0,0,0.25,1
100,0,4,1,0,1,3800,2,5,60.0,1,0,2.78,1
100,0,1,0,0,1,7700,1,21,94.0,0,0,2.6,1
94,1,18,1,0,3,13300,1,74,80.0,0,1,2.71,1
100,1,2,1,11,3,15000,1,77,91.0,0,2,6.29,1
100,1,7,1,0,2,6000,2,37,84.0,0,2,7.3,1
94,0,5,1,0,4,15000,1,10,74.0,1,0,2.78,1
100,1,20,1,4,4,9900,2,30,87.0,1,2,2.72,1
100,1,4,1,0,4,28500,2,37,91.0,0,1,3.4,1
100,0,1,1,0,4,35000,4,27,89.0,0,0,1.63,1
98,1,24,1,0,4,22000,3,13,88.0,0,2,1.07,1
100,1,1,1,0,3,15500,2,46,96.0,0,2,1.28,1
100,1,1,1,0,2,18000,2,25,97.0,0,2,3.16,1
100,0,1,1,0,2,15500,5,125,97.0,0,2,1.67,1
100,1,7,1,8,3,8300,1,231,96.0,1,0,6.23,1
100,0,5,1,0,12,72500,3,15,96.0,0,2,0.26,1
75,0,1,1,0,2,12500,2,14,93.0,0,0,1.34,1
95,1,6,1,8,2,7000,1,47,92.0,0,2,2.19,1
100,1,18,1,8,2,9900,1,80,88.0,1,2,6.7,1
100,1,5,1,8,3,8000,3,97,96.0,0,0,3.27,1
100,1,1,1,0,2,10000,1,13,80.0,0,2,0.62,1
99,1,30,0,0,8,20000,1,24,96.0,0,2,4.16,1
100,1,2,1,8,1,5700,1,17,94.0,0,0,0.48,1
100,1,11,1,0,4,20000,1,25,95.0,0,2,1.66,1
100,1,3,1,8,2,9000,2,139,93.0,1,1,6.77,1
100,0,2,1,0,4,25000,10,38,93.0,0,2,1.05,1
100,1,4,1,0,4,13000,2,77,87.0,0,1,2.89,1
100,1,1,1,0,4,10900,2,185,87.0,1,1,3.67,1
100,1,1,0,0,2,14000,2,35,99.0,0,1,2.71,1
100,1,1,1,0,5,8000,1,48,91.0,0,0,0.94,1
100,1,2,1,0,2,6500,1,176,92.0,0,0,7.19,1
100,1,1,1,0,2,20000,3,28,93.0,1,1,1.96,1
100,1,5,1,8,2,8500,3,119,95.0,0,1,3.93,1
100,1,16,1,2,4,21200,2,12,90.0,0,2,0.41,1
89,1,558,1,0,2,18500,2,7,84.0,0,3,0.19,1
100,1,2,1,4,2,10300,1,28,94.0,0,1,12.73,1
100,1,1,1,0,8,33400,1,135,92.0,1,2,5.09,1
100,1,1,1,4,8,38300,1,57,86.0,1,2,4.22,1
100,0,1,1,0,2,27500,2,18,93.0,0,2,1.49,1
60,0,1,1,0,2,15000,30,34,91.0,0,0,2.24,1
100,1,13,1,8,2,6600,1,80,90.0,0,2,2.21,1
100,1,3,1,0,4,19000,2,115,92.0,0,2,3.9,1
100,1,1,1,0,2,8300,2,51,93.0,0,0,3.76,1
100,1,1,1,8,4,30000,2,38,96.0,0,1,2.08,1
100,1,4,1,0,4,26500,1,101,93.0,0,1,7.05,1
100,1,1,1,0,2,8000,1,59,97.0,1,0,1.66,1
100,1,2,0,0,3,11400,2,127,97.0,1,2,5.08,1
89,1,558,1,0,3,24900,3,2,78.0,0,3,0.04,1
95,1,6,1,8,2,6500,30,36,87.0,0,2,1.69,1
100,1,1,1,0,2,20000,3,39,96.0,0,1,3.12,1
100,1,1,1,0,4,24900,3,26,98.0,0,2,1.51,1
100,1,1,1,0,6,20000,1,132,96.0,1,2,2.62,1
